"La tendance à avoir un optimisme excessif ou préférence à l'égard d'une option ou invention du simple fait de son caractère novateur, sans en identifier les limites et les faiblesses.",Biais pro-innovation (Raisonnement & résolution de problèmes)
"La confiance excessive dans un outil ou des méthodes familières, ignorant ou sous-estimant les approches alternatives. ""Si tout ce que vous avez est un marteau, tout ressemble à un clou.""",Loi de l'instrument (Raisonnement & résolution de problèmes)
"La tendance à percevoir les dictons et aphorismes comme plus précis et véridiques lorsqu'ils riment. « Blanc sur rouge rien ne bouge, rouge sur blanc, tout fout l'camp »",Effet de rime (Raisonnement & résolution de problèmes)
"La tendance à préférer davantage les gains immédiats par rapport aux gains ultérieurs. Lorsque la personne a le choix entre deux récompenses, elle aura tendance à préférer celle qu’elle peut recevoir tout de suite, même si sa valeur est inférieure à l’autre récompense.",Actualisation hyperbolique (Raisonnement & résolution de problèmes)
"La difficulté à comparer de petites différences en grandes quantités. Le changement est perceptible selon l’importance/la magnitude qu’avait cette chose originellement. Par exemple, une accélération du temps de chargement sur un site lent de 10% seulement permet de percevoir le site comme plus performant.",Loi Weber – Fechner (Raisonnement & résolution de problèmes)
"La tendance à privilégier et surestimer les informations immédiatement disponibles à notre mémoire, en particulier lorsqu'elles sont stéréotypées. Les personnes s'abstiennent de rechercher de nouvelles informations qui pourraient éclairer la question sous un autre jour, de manière plus générale, plus rationnelle, plus objective.",Biais de disponibilité (Prise de décision & comportements)
"La tendance à s'appuyer trop lourdement (ou à ""ancrer"") sur un trait ou une information pour prendre des décisions. C’est généralement sur la première information acquise sur ce sujet.",Biais d'ancrage (Prise de décision & comportements)
"La tendance à dépenser plus d'argent quand il est libellé en petites quantités (pièces de monnaie, petits billets) plutôt que de grandes quantités (gros billets, factures).",Effet de dénomination (Prise de décision & comportements)
"Lorsqu’on a le choix entre plusieurs options, la tendance à privilégier celle par défaut.",Effet par défaut (Prise de décision & comportements)
"La tendance des individus à croire que des descriptions de la personnalité s'appliquent et ont spécialement été conçues pour eux. Ces descriptions sont en fait suffisamment vagues et générales pour s'appliquer à un large éventail de personnes. (s'applique à l'astrologie, la divination, et certains types de tests de personnalité).",Effet Forer / Barnum (Prise de décision & comportements)
"La tendance à exiger beaucoup plus d'abandonner un objet possédé qu'on ne serait prêts à payer pour l'acquérir. Son corollaire: la tendance à attribuer une plus grande valeur à un objet que l'on possède, qu’à un même objet que l'on ne possède pas.",Aversion à la dépossession (Prise de décision & comportements)
"La tendance à croire qu'un énoncé est vrai s'il est plus facile à traiter ou s'il a été énoncé plusieurs fois, quelle que soit sa véracité réelle.",Effet de vérité illusoire (Prise de décision & comportements)
"La tendance à accorder une valeur démesurée aux objets qu’on a partiellement assemblé, tels que les meubles IKEA, quelle que soit la qualité du résultat final.",Effet IKEA (Prise de décision & comportements)
La tendance à se concentrer sur la valeur nominale (valeur faciale) de la monnaie plutôt que sur sa valeur en termes de pouvoir d'achat.,Illusion monétaire (Prise de décision & comportements)
La tendance à exprimer un sentiment positif ou une attirance pour les choses simplement par familiarité avec celles-ci.,Effet de simple exposition (Prise de décision & comportements)
"La tendance à vouloir absolument finir les tâches commencées. Cette logique s’applique au cinéma mais également pour les portions de plat : la taille d'une portion est perçue comme appropriée, poussant les personnes à « finir leur assiette » même si c’est trop pour elles.",Biais d'unité (Prise de décision & comportements)
La résistance au changement et attitude mentale dans laquelle toute nouveauté est perçue comme engendrant plus de risques que d'avantages. En conséquence les individus aiment que les choses restent relativement les mêmes ou évoluent le moins possible.,Biais de statu quo (Prise de décision & comportements)
La tendance à surévaluer ou attribuer une plus grande précision à l’opinion d’une figure faisant office d'autorité sur un sujet et à être plus influencée par cette opinion.,Biais d'autorité (Prise de décision & comportements)
La tendance des personnes non-qualifiées à surestimer leurs propres capacités et celle des personnes expertes à sous-estimer les leurs.,Effet Dunning – Kruger (Travail d'équipe & réunions)
"La tendance à tirer des conclusions différentes de la même information, en fonction de la manière dont cette information est présentée.",Effet de cadrage (Travail d'équipe & réunions)
"L’aversion pour le contact ou l'utilisation de produits, recherches, technologies, normes ou connaissances développées en dehors d'un groupe et de son contrôle. (littéralement « pas inventé ici »).","""Not invented here"" NIH (Travail d'équipe & réunions)"
"La tendance à sous-estimer les délais d’exécution de ses propres tâches à accomplir, quel que soit son niveau de compétence dans le domaine. Ne s'applique qu'à l'auto-estimation de ses tâches, pas à l'estimation externe.",Planification fallacieuse (Travail d'équipe & réunions)
La réaction négative et mécanisme de défense psychologique mis en place pour résister à une tentative perçue de restreindre des liberté et choix d’un individu. (Psychologie inversée).,Réactance (Travail d'équipe & réunions)
La tendance à dévaluer des propositions uniquement parce qu'elles sont supposées provenir d'un adversaire.,Dévaluation réactive (Travail d'équipe & réunions)
"La tendance à croire que les caractéristiques d'un membre du groupe individuel reflètent le groupe dans son ensemble ou la tendance à supposer que les résultats de la décision du groupe reflètent les préférences des membres du groupe, même lorsque des informations suggèrent clairement le contraire.",Biais d'attribution de groupe (Travail d'équipe & réunions)
"La tendance à attribuer nos réussites à nos qualités propres (causes internes) et nos échecs à des facteurs ne dépendant pas de nous (causes externes), afin de maintenir une image positive de soi.",Biais d'autocomplaisance (Travail d'équipe & réunions)
"La tendance à défendre et à justifier l'ordre établi même lorsque celui-ci est injuste. Les arrangements sociaux, économiques et politiques existants ont tendance à être préférés et les alternatives décriées, parfois même au détriment des intérêts personnels et collectifs.",Théorie de la justification du système (Travail d'équipe & réunions)
La tendance des personnes/éléments à paraître plus attrayantes dans un groupe que de manière isolée.,Effet pom-pom girl (Travail d'équipe & réunions)
"La tendance à donner une opinion plus correcte sur le plan social que sa véritable opinion, afin d'éviter d'offenser qui que ce soit.",L'effet de courtoisie (Interview & test utilisateur)
"Parfois appelée l'effet « je savais tout », la tendance à voir les événements passés comme prévisibles au moment où ils se sont produits.",Biais rétrospectif (Interview & test utilisateur)
"La tendance à se considérer moins biaisé que les autres, ou à identifier plus de biais cognitifs chez les autres que chez soi.",Biais de l'angle mort (Interview & test utilisateur)
"La tendance à vouloir tester exclusively une hypothèse sans tester les hypothèses alternatives. Dans une expérience, un sujet testera sa propre hypothèse au lieu d’essayer de la réfuter.",Biais de congruence (Interview & test utilisateur)
La tendance des chercheurs à manipuler inconsciemment une expérience ou interprète de manière erronée les données afin d'atteindre ce résultat spécifique attendu au départ.,Biais d'observation (Interview & test utilisateur)
La tendance à croire qu'un membre d'un groupe présente certaines caractéristiques perçues comme communes à ce groupe sans disposer d'informations réelles sur cet individu.,Stéréotype (Interview & test utilisateur)
"La tendance à surestimer sa capacité d'interpréter et prédire avec précision le résultat d'une analyse, en particulier lorsque les informations disponibles sont cohérentes ou corrélées et que les données « racontent une histoire cohérente ».",Illusion de validité (Interview & test utilisateur)
Phénomène psychologique par lequel les humains se souviennent davantage des souvenirs déplaisants que des souvenirs positifs.,Biais de négativité (Interview & test utilisateur)
"La tendance à juger une expérience en grande partie basée sur la façon dont on se sentait à son apogée (son point le plus intense) et à sa fin, plutôt que sur la somme totale ou moyenne de chaque moment de l'expérience.",Règle du pic et de la fin (Interview & test utilisateur)
